case,Dice,IoU,TP,FP,FN
case_152,0.8765511214681037,0.7802323169466916,120368,1825,32079
case_153,0.8701414092736774,0.770133020552875,57780,14912,2334
case_154,0.8840766002098636,0.7922377112767108,67402,12266,5410
case_155,0.8882375071833437,0.7989453799012316,107423,10042,16991
case_156,0.9302622933352276,0.8696171851655101,78576,9134,2647
case_157,0.9263218316747595,0.8627555807711611,79075,3018,9561
case_158,0.9095934310608889,0.8341782386232863,141349,18443,9655
case_159,0.8915861924576692,0.8043802651958747,85171,15015,5698
case_160,0.9090416053304409,0.8332504793693629,70398,2046,12042
case_161,0.8401915763025087,0.7244227228700082,97976,34757,2514
case_162,0.9030939226519337,0.8233101641986501,138941,4917,24901
case_163,0.8779045946736904,0.7823796359084033,59996,15653,1035
case_164,0.8880467678936341,0.7986367971712378,102993,3748,22220
case_165,0.9321221617577515,0.8728734021599757,132064,11505,7729
case_166,0.8856150516040888,0.794711964549483,161406,1071,40623
case_167,0.8911610781880899,0.8036884895164741,93911,2253,20686
case_168,0.8998054284803249,0.8178602692407788,69137,12481,2916
case_169,0.8678591176525408,0.7665645956120422,69844,1543,19726
case_170,0.9154886275965682,0.8441484809584938,78911,11800,2769
case_171,0.9404210924316793,0.8875422922393741,134310,6385,10633
case_172,0.8979966894711335,0.8148765805795743,71340,7213,8994
case_173,0.9222509128550466,0.8557195026702974,162152,5830,21510
case_174,0.8806534123939077,0.7867566865749156,60596,10795,5629
case_175,0.9094310482721849,0.8339051344083755,98927,3324,16380
case_176,0.8714183945924487,0.7721359185876185,80123,10638,13007
case_177,0.9014637429196344,0.8206044517051256,96444,667,20417
case_178,0.9230267528721663,0.8570563431670886,227851,25725,12277
case_179,0.8706116648652976,0.7708700699139589,86995,6273,19585
case_180,0.8870013080444735,0.7969473050197587,54249,1158,12664
case_181,0.9392751817120688,0.8855031630429004,166572,13815,7723
case_182,0.8860305367675766,0.7953813511158262,83970,6950,14652
case_183,0.876733819569628,0.7805218699219747,58120,9859,6484
case_184,0.916161242131338,0.8452929326249072,71751,3850,9282
case_185,0.9347762637563882,0.8775398368917017,163340,12373,10421
case_186,0.8997183257811985,0.8177163601493201,47753,5455,5190
case_187,0.8316172110649926,0.7117677690399908,80644,6743,25914
case_188,0.9406045710047339,0.8878691990362901,129351,6543,9793
case_189,0.8750996433815817,0.7779352528718484,114719,2404,30343
case_190,0.907200324771184,0.8301615980817615,49163,7161,2897
case_191,0.886653026838368,0.7963851774981623,92090,9137,14408
case_192,0.9340267220259252,0.8762196401405865,133627,9113,9764
case_193,0.9088295557426261,0.8328942197120773,57219,6562,4918
case_194,0.9368545060214883,0.881210061395815,112527,12655,2514
